,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",CIDADE,LATITUDE,LONGITUDE
0,0.2001428571428571,912.2957142857143,912.5854285714286,912.0112857142859,1158.5524285714287,17.793857142857142,13.104571428571429,18.34542857142857,17.283857142857144,13.661714285714282,12.57628571428571,77.22442857142859,71.23785714285717,74.32642857142861,128.5498571428571,5.6899999999999995,2.2231428571428573,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
1,0.22485714285714278,924.0770000000001,924.3809999999997,923.7741428571431,1291.3667142857144,19.366571428571422,14.477000000000004,19.996714285714287,18.77014285714285,14.991285714285718,13.996857142857143,79.06028571428571,73.41685714285715,76.2845714285714,153.87871428571432,4.969714285714286,1.681285714285714,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2,0.1828571428571429,904.6852857142856,904.9609999999999,904.4111428571423,1176.4424285714288,17.851571428571425,13.767571428571433,18.457571428571423,17.275428571428566,14.281428571428574,13.289428571428576,82.49657142857139,77.33314285714287,79.96157142857139,145.64142857142852,5.102428571428572,1.7707142857142861,"CASTRO, Parana, Brazil",-24.794072,-49.9972914
3,0.25723076923076915,967.254,967.5780000000002,966.9436923076926,1394.7067692307692,23.10692307692308,15.766153846153838,23.826307692307687,22.423384615384617,16.29492307692308,15.259692307692305,70.22061538461537,64.53661538461539,67.40815384615381,147.42369230769236,6.982923076923076,3.7583076923076932,"MAL. CANDIDO RONDON, Parana, Brazil",-24.5582532,-54.0587821
4,0.20615384615384613,955.1190769230775,955.446769230769,954.7987692307693,1415.9392307692306,22.04353846153846,15.588307692307694,22.74276923076923,21.37138461538461,16.165846153846154,15.064615384615381,72.75107692307691,66.93492307692308,69.84953846153844,169.5284615384615,6.581384615384616,2.726,"JOAQUIM TAVORA, Parana, Brazil",-23.4999724,-49.9232545
5,0.2101538461538461,939.3087692307694,939.6052307692307,939.0178461538462,1431.3072307692314,21.49615384615384,15.234153846153841,22.15523076923077,20.862461538461528,15.807384615384619,14.705999999999996,73.07769230769229,67.65661538461542,70.38753846153843,179.4195384615386,3.196461538461539,1.4827692307692304,"NOVA TEBAS, Parana, Brazil",-24.437958,-51.945357
6,0.24955223880597002,881.2582089552237,881.5300000000001,880.9873134328357,1179.426119402985,16.387611940298505,13.09597014925373,17.007611940298503,15.81880597014926,13.647611940298509,12.59865671641791,85.71119402985079,80.41567164179104,83.15432835820894,147.9326865671642,5.294328358208956,2.2516417910447757,"INACIO MARTINS, Parana, Brazil",-25.5725435,-51.0764637
7,0.2284615384615385,968.7998461538465,969.2436923076923,968.3681538461536,1150.4320000000007,24.067384615384636,16.748923076923074,24.651538461538465,23.501999999999995,17.25123076923077,16.269230769230766,69.31661538461542,64.42661538461536,66.89876923076923,149.23507692307695,6.063692307692304,2.7772307692307696,"ICARAIMA, Parana, Brazil",-23.3948345,-53.6162036
8,0.22046153846153846,951.1923076923077,951.5004615384616,950.8986153846154,1255.1273846153842,23.98615384615384,14.848307692307692,24.607384615384607,23.381538461538472,15.41230769230769,14.341384615384612,63.595692307692296,58.29892307692307,60.92753846153846,151.36153846153846,5.983692307692308,2.219384615384615,"MARINGA, Parana, Brazil",-23.425269,-51.9382078
9,0.1803076923076924,938.4719999999993,938.7695384615386,938.1867692307692,1486.1346153846152,21.630000000000013,15.01846153846153,22.33799999999999,20.945999999999998,15.59092307692308,14.484769230769226,72.08830769230772,66.77707692307692,69.43953846153849,210.1709230769232,7.322769230769234,3.6329230769230763,"NOVA FATIMA, Parana, Brazil",-23.433056,-50.5618055
10,0.2727692307692308,950.9160000000004,951.2133846153844,950.6260000000001,1339.6478461538454,21.01907692307693,15.16,21.680923076923083,20.353538461538452,15.711692307692301,14.640000000000004,75.37584615384613,69.45892307692311,72.39107692307695,175.97969230769226,5.289076923076922,2.3935384615384616,"DOIS VIZINHOS, Parana, Brazil",-25.7464681,-53.0554369
11,0.23918032786885243,984.9468852459014,985.2745901639345,984.622295081967,1418.1985245901633,22.100655737704926,16.60016393442623,22.77000000000001,21.44901639344262,17.172295081967214,16.071147540983613,77.03360655737703,71.61672131147542,74.32327868852461,164.20377049180334,5.868032786885248,2.8024590163934415,"FOZ DO IGUACU, Parana, Brazil",-25.5401479,-54.5858139
12,0.15819672131147539,970.2472131147542,970.555081967213,969.9496721311475,1548.791147540984,24.32540983606556,16.558196721311475,24.99229508196722,23.679508196721315,17.1355737704918,16.007377049180334,68.44344262295083,62.4388524590164,65.4460655737705,139.15852459016398,5.841803278688525,2.368524590163933,"DIAMANTE DO NORTE, Parana, Brazil",-22.6565442,-52.8589113
13,0.17999999999999997,976.923114754098,977.2462295081965,976.6059016393443,1504.7075409836068,24.36213114754098,16.4683606557377,25.121639344262295,23.625081967213106,17.108196721311472,15.868852459016399,68.38098360655736,61.80540983606558,65.07245901639344,218.3618032786885,6.572295081967214,3.2568852459016395,"PARANAPOEMA, Parana, Brazil",-22.6561084,-52.0865163
14,0.2895081967213116,966.7906557377047,967.1068852459018,966.4785245901644,1402.6996721311477,22.432622950819667,15.278524590163938,23.083442622950827,21.811803278688544,15.826721311475414,14.76409836065574,70.73098360655736,65.14196721311474,67.97065573770489,137.7247540983607,5.941147540983605,2.868196721311476,"PLANALTO, Parana, Brazil",-25.7184492,-53.767216
15,0.21147540983606555,970.5580327868856,970.8693442622948,970.2639344262295,1457.3990163934427,24.159836065573774,16.03311475409836,24.85180327868851,23.466557377049178,16.618688524590166,15.49639344262295,67.19147540983607,61.29131147540983,64.18737704918031,162.71590163934422,5.045409836065571,1.7737704918032784,"CIDADE GAUCHA, Parana, Brazil",-23.3816558,-52.9444098
16,0.1760655737704918,935.6563934426231,935.9498360655738,935.3639344262292,1390.9549180327867,21.006721311475406,14.725245901639344,21.62934426229509,20.41245901639344,15.259180327868854,14.163770491803275,73.72967213114758,68.40360655737703,71.03786885245901,154.9768852459017,5.892622950819671,2.410655737704918,"JAPIRA, Parana, Brazil",-23.8119773,-50.1397133
17,0.22020833333333326,894.0297916666665,894.2922916666661,893.7650000000003,1334.545833333333,18.282291666666662,13.48166666666666,18.9075,17.708541666666676,13.997916666666653,12.992291666666654,79.1345833333334,73.64791666666667,76.4985416666667,131.13062499999998,7.126875000000005,3.8110416666666698,"VENTANIA, Parana, Brazil",-24.2470771,-50.245452
18,0.20081967213114751,1008.785901639344,1009.1034426229508,1008.4795081967212,1059.4918032786886,20.570819672131147,18.03311475409836,21.070327868852456,20.112950819672132,18.52213114754099,17.57639344262295,89.19967213114754,84.44983606557376,86.9222950819672,153.87393442622957,2.7555737704918033,0.7724590163934428,"MORRETES, Parana, Brazil",-25.4770051,-48.8321911
19,0.22000000000000006,927.4718749999998,927.7783333333336,927.1641666666669,940.2189583333334,18.016041666666663,14.336041666666667,18.675625000000004,17.386875,14.939791666666665,13.783750000000005,84.69062500000001,79.09541666666668,81.93937499999998,203.0270833333334,3.2531250000000007,0.7364583333333335,"SAO MATEUS DO SUL, Parana, Brazil",-25.866823,-50.382796
20,0.307704918032787,902.6722950819673,902.9668852459018,902.3834426229511,1114.9618032786877,16.767377049180325,13.516229508196721,17.46704918032787,16.120655737704915,14.13901639344262,12.941147540983605,86.28245901639342,81.0695081967213,83.7604918032787,182.88245901639348,4.180327868852459,1.1978688524590162,"GENERAL CARNEIRO, Parana, Brazil",-26.422982,-51.3146691
21,0.2690163934426229,905.9072131147543,906.2003278688526,905.6157377049182,1274.6193442622953,18.039344262295085,12.609672131147544,18.70508196721312,17.411147540983606,13.214426229508195,12.023934426229507,76.26836065573771,70.03049180327868,73.2055737704918,179.96131147540976,7.016721311475408,3.512131147540983,"CLEVELANDIA, Parana, Brazil",-26.404065,-52.3513972
22,0.24814814814814826,945.189259259259,945.4974074074075,944.907037037037,1487.6762962962964,23.23185185185185,16.53259259259259,23.88111111111111,22.538148148148146,17.100000000000005,15.975555555555552,71.52666666666666,66.26703703703701,68.81333333333335,133.10444444444445,6.500370370370373,3.391481481481483,"CAMPINA DA LAGOA, Parana, Brazil",-24.5937926,-52.8038965
23,0.2511111111111111,921.0759259259258,921.3662962962961,920.811111111111,1494.101851851852,19.64222222222222,14.317407407407412,20.447407407407404,18.84037037037037,15.003333333333332,13.691481481481487,78.74592592592596,71.30111111111111,74.99740740740742,189.53962962962964,4.857037037037037,1.803703703703703,"LARANJEIRAS DO SUL, Parana, Brazil",-25.4073197,-52.4150132
24,0.2514814814814815,909.8914814814815,910.214074074074,909.5829629629627,1128.5055555555557,17.064444444444447,14.237777777777781,17.595185185185183,16.576666666666668,14.710370370370367,13.791481481481481,88.55444444444444,83.54074074074073,85.81555555555555,124.77148148148147,4.89074074074074,1.5337037037037036,"COLOMBO, Parana, Brazil",-25.309460299999998,-49.18507242898573
