Argila,x,y
410.0,728253.0,7124541.0
599.0,617090.0,7256712.0
432.0,585857.0,7246517.0
182.0,581215.0,7258842.0
432.0,553804.0,7273007.0
549.0,567526.0,7286561.0
204.0,599497.0,7271605.0
560.0,611095.0,7245676.0
131.0,587457.0,7234773.0
160.0,631383.0,7308563.0
690.0,429941.0,7285551.0
820.0,437236.0,7316383.0
810.0,361098.0,7335838.0
730.0,421086.0,7269055.0
700.0,372133.0,7248199.0
520.0,505387.0,7330805.0
120.0,474348.0,7274276.0
400.0,608249.0,7149297.0
490.0,690684.0,7161661.0
300.0,680823.0,7175094.0
420.0,573465.0,7207125.0
500.0,662298.0,7139881.0
390.0,748234.0,7177336.0
420.0,679006.0,7189522.0
450.0,646517.0,7158944.0
520.0,591329.0,7319972.0
480.0,670645.0,7165257.0
140.0,338815.0,7381375.0
130.0,256953.0,7457799.0
100.0,349470.0,7436861.0
210.0,446792.0,7417598.0
260.0,302787.0,7482837.0
280.0,306797.0,7490642.0
590.0,592715.0,7223619.0
690.0,555015.0,7129692.0
460.0,625179.0,7358473.0
220.0,294820.0,7318782.0
10.0,321569.0,7463975.0
130.0,338583.0,7402415.0
100.0,333818.0,7463274.0
140.0,333602.0,7391284.0
130.0,333479.0,7494278.0
610.0,676248.0,7209500.0
690.0,512059.0,7238325.0
520.0,542203.0,7193971.0
620.0,512029.0,7203998.0
610.0,592639.0,7219087.0
260.0,344346.0,7341564.0
730.0,542262.0,7212796.0
480.0,596026.0,7264572.0
630.0,767169.0,7219096.0
510.0,676320.0,7215038.0
100.0,325600.0,7464289.0
690.0,486655.0,7421009.0
800.0,428472.0,7400914.0
680.0,600371.0,7453890.0
670.0,450954.0,7395470.0
670.0,293212.0,7222366.0
660.0,304408.0,7286790.0
740.0,198304.0,7178456.0
660.0,474297.0,7473024.0
770.0,481540.0,7423218.0
690.0,462306.0,7347896.0
680.0,323085.0,7100914.0
680.0,305115.0,7308957.0
830.0,371813.0,7125858.0
690.0,431076.0,7284666.0
830.0,357142.0,7186633.0
820.0,242042.0,7260287.0
800.0,476424.0,7425425.0
820.0,428883.0,7317874.0
810.0,362707.0,7336214.0
770.0,452671.0,7190632.0
740.0,429392.0,7218215.0
750.0,457659.0,7203937.0
820.0,315337.0,7303555.0
770.0,244107.0,7258108.0
740.0,305238.0,7228083.0
730.0,403898.0,7260142.0
700.0,380747.0,7247779.0
600.0,409173.0,7226955.0
810.0,322341.0,7311400.0
480.0,456666.0,7199504.0
740.0,265214.0,7094453.0
750.0,439471.0,7218264.0
750.0,429723.0,7155092.0
740.0,442448.0,7229351.0
750.0,471776.0,7194007.0
740.0,457604.0,7221655.0
740.0,367261.0,7081501.0
740.0,400117.0,7090660.0
730.0,434555.0,7192771.0
480.0,330629.0,7215128.0
650.0,264474.0,7310553.0
510.0,182742.0,7198059.0
590.0,482648.0,7351257.0
590.0,486685.0,7387796.0
650.0,384870.0,7361880.0
410.0,329185.0,7420030.0
740.0,390790.0,7387394.0
600.0,415179.0,7404164.0
270.0,187836.0,7284673.0
670.0,212528.0,7317352.0
670.0,415089.0,7419664.0
740.0,145092.0,7172713.0
770.0,157548.0,7197443.0
700.0,459111.0,7398817.0
520.0,596444.0,7325475.0
380.0,394706.0,7142676.0
480.0,256085.0,7210668.0
450.0,508104.0,7382265.0
650.0,464927.0,7120901.0
570.0,366139.0,7192264.0
700.0,460085.0,7068833.0
820.0,460043.0,7082124.0
650.0,477428.0,7437604.0
730.0,459696.0,7196191.0
640.0,467939.0,7116479.0
780.0,462019.0,7088775.0
650.0,412158.0,7081886.0
700.0,513801.0,7180914.0
780.0,527082.0,7179614.0
660.0,525051.0,7168544.0
660.0,515132.0,7279291.0
590.0,558127.0,7154043.0
540.0,527138.0,7207298.0
490.0,598949.0,7249047.0
490.0,679109.0,7197275.0
530.0,634006.0,7217737.0
150.0,589916.0,7419634.0
90.0,291127.0,7363043.0
70.0,343304.0,7439012.0
130.0,274439.0,7454748.0
110.0,348503.0,7431314.0
30.0,287989.0,7368537.0
50.0,308448.0,7363283.0
110.0,348559.0,7425778.0
160.0,618541.0,7295407.0
120.0,619160.0,7369598.0
160.0,344912.0,7383656.0
120.0,474653.0,7270418.0
120.0,604316.0,7431719.0
440.0,650996.0,7204266.0
290.0,769754.0,7196874.0
590.0,402400.0,7187038.0
230.0,575529.0,7215973.0
550.0,597899.0,7243517.0
440.0,684143.0,7197208.0
230.0,603510.0,7184778.0
230.0,665885.0,7186367.0
570.0,492898.0,7205109.0
230.0,447281.0,7284736.0
240.0,658115.0,7125530.0
300.0,501961.0,7207325.0
390.0,696224.0,7197037.0
470.0,522448.0,7426533.0
440.0,435605.0,7404268.0
380.0,259972.0,7107659.0
560.0,461740.0,7185124.0
410.0,464956.0,7109826.0
610.0,403279.0,7068530.0
540.0,461708.0,7196197.0
770.0,465013.0,7088783.0
390.0,617274.0,7149220.0
400.0,261380.0,7196355.0
550.0,431955.0,7312352.0
160.0,451302.0,7293609.0
230.0,635665.0,7182276.0
610.0,444029.0,7190776.0
760.0,400272.0,7070722.0
670.0,439780.0,7149604.0
790.0,382796.0,7129284.0
570.0,491911.0,7171887.0
480.0,601043.0,7258999.0
620.0,593014.0,7267915.0
520.0,507939.0,7102118.0
470.0,512131.0,7320261.0
350.0,655439.0,7331597.0
300.0,540302.0,7231627.0
540.0,679153.0,7200599.0
170.0,585656.0,7223665.0
570.0,777032.0,7207812.0
500.0,720938.0,7168949.0
260.0,623834.0,7320832.0
140.0,626851.0,7317483.0
220.0,613428.0,7289912.0
80.0,366835.0,7441456.0
300.0,718068.0,7177862.0
450.0,694018.0,7183773.0
160.0,718159.0,7183402.0
500.0,776918.0,7202272.0
330.0,310360.0,7222615.0
280.0,430525.0,7398709.0
660.0,432196.0,7401824.0
450.0,262972.0,7107714.0
450.0,693013.0,7183788.0
280.0,600510.0,7187016.0
460.0,601107.0,7267858.0
190.0,515059.0,7212853.0
260.0,501972.0,7282621.0
260.0,467698.0,7216146.0
190.0,414286.0,7215914.0
830.0,478564.0,7421345.0
830.0,427276.0,7312371.0
810.0,424164.0,7262526.0
760.0,446225.0,7223873.0
470.0,682337.0,7159978.0
470.0,711568.0,7209408.0
124.0,700876.0,7190471.0
104.0,700784.0,7190497.0
190.0,440279.0,7417811.0
490.0,456309.0,7407628.0
750.0,555813.0,7134300.0
760.0,672075.0,7180998.0
480.0,303004.0,7229350.0
810.0,362929.0,7337822.0
220.0,300761.0,7324031.0
670.0,213111.0,7312121.0
650.0,263342.0,7311470.0
660.0,301875.0,7283034.0
820.0,218719.0,7264796.0
410.0,258535.0,7106469.0
680.0,333790.0,7104531.0
740.0,188690.0,7202433.0
830.0,379052.0,7120078.0
610.0,415768.0,7069172.0
770.0,460978.0,7071985.0
830.0,360926.0,7196080.0
750.0,436610.0,7147964.0
730.0,575267.0,7422666.0
